Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
ETW,Eaton Vance Corporation,12.18,$1.3B,2005,n/a,n/a,https://www.nasdaq.com/symbol/etw,#VALUE!
FTSI,"FTS International, Inc.",11.87,$1.3B,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/ftsi,#VALUE!
MTRN,Materion Corporation,64.2,$1.3B,n/a,Capital Goods,Industrial Specialties,https://www.nasdaq.com/symbol/mtrn,#VALUE!
PPDF,PPDAI Group Inc.,4.31,$1.3B,2017,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ppdf,#VALUE!
SBGL,Sibanye Gold Limited,2.38,$1.3B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sbgl,#VALUE!
WMK,"Weis Markets, Inc.",48.37,$1.3B,n/a,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/wmk,#VALUE!
AZZ,AZZ Inc.,54.05,$1.41B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/azz,#VALUE!
BEDU,Bright Scholar Education Holdings Limited,12.01,$1.41B,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/bedu,#VALUE!
CBPX,"Continental Building Products, Inc.",38.05,$1.41B,2014,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/cbpx,#VALUE!
ELP,Companhia Paranaense de Energia (COPEL),5.16,$1.41B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/elp,#VALUE!
GKOS,Glaukos Corporation,40.45,$1.41B,2015,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/gkos,#VALUE!
INN,"Summit Hotel Properties, Inc.",13.5,$1.41B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/inn,#VALUE!
KRG,Kite Realty Group Trust,16.86,$1.41B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krg,#VALUE!
PUMP,ProPetro Holding Corp.,16.85,$1.41B,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/pump,#VALUE!
SKY,Skyline Champion Corporation,25.05,$1.41B,n/a,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/sky,#VALUE!
